conceptid,Preflabel,Altlabels,ParentConceptid,ConceptType,Provider
INFO_CARRIER:1,DIGITAL FILE FORMAT,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,GCI
INFO_CARRIER:2,JPEG,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:3,GIF,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:4,PNG,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:5,TIFF,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:6,SVG,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:7,RAW,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:8,PDF,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:9,TXT,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:10,RDF,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:11,XML,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:12,HTML,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:13,CSV,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:14,MP4,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:15,AVI,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:16,MOV,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:17,AAC,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:18,MP3,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:19,other digital file format,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:20,PHYSICAL MATERIAL,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,GCI
INFO_CARRIER:21,33rpm record,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:22,45rpm record,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:23,78rpm record,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:24,acetate photographic film,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:25,archival paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:26,art paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:27,board,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:28,card - paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:29,cartridge paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:30,cassette tape,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:31,cd-recordable,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:32,clear drawing film,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:33,cloth,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:34,compact disc,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:35,drawing paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:36,general/ordinary paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:37,glass photographic plate,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:38,graph paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:39,linen backed paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:40,magnetic disk,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:41,nitrate photographic film,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:42,paper coated with photographic emulsion,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:43,phonograph cylinder,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:44,photographic film,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:45,photographic paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:46,polyester photographic film,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:47,specialised paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:48,tracing paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:49,translucent drawing film,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:50,translucent paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:51,unknown,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:52,VHS tape,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:53,watercolour paper,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:54,waxed linen,,INFO_CARRIER:20,Index,GCI
INFO_CARRIER:55,other material,,INFO_CARRIER:20,Index,GCI
