conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
STATUS_CODE:65,National,,STATUS_AUTHORITY_DOCUMENT.csv,Collector,GCI
STATUS_CODE:2,1D,,STATUS_CODE:65,Index,GCI
STATUS_CODE:3,1S,,STATUS_CODE:65,Index,GCI
STATUS_CODE:8,2B,,STATUS_CODE:65,Index,GCI
STATUS_CODE:9,2D,,STATUS_CODE:65,Index,GCI
STATUS_CODE:10,2D2,,STATUS_CODE:65,Index,GCI
STATUS_CODE:11,2D3,,STATUS_CODE:65,Index,GCI
STATUS_CODE:12,2D4,,STATUS_CODE:65,Index,GCI
STATUS_CODE:13,2S,,STATUS_CODE:65,Index,GCI
STATUS_CODE:14,2S2,,STATUS_CODE:65,Index,GCI
STATUS_CODE:15,2S3,,STATUS_CODE:65,Index,GCI
STATUS_CODE:16,2S4,,STATUS_CODE:65,Index,GCI
STATUS_CODE:21,3B,,STATUS_CODE:65,Index,GCI
STATUS_CODE:22,3D,,STATUS_CODE:65,Index,GCI
STATUS_CODE:23,3S,,STATUS_CODE:65,Index,GCI
STATUS_CODE:66,State,,STATUS_AUTHORITY_DOCUMENT.csv,Collector,GCI
STATUS_CODE:4,1CD,,STATUS_CODE:66,Index,GCI
STATUS_CODE:5,1CS,,STATUS_CODE:66,Index,GCI
STATUS_CODE:6,1CL,,STATUS_CODE:66,Index,GCI
STATUS_CODE:17,2CB,,STATUS_CODE:66,Index,GCI
STATUS_CODE:18,2CD,,STATUS_CODE:66,Index,GCI
STATUS_CODE:19,2CS,,STATUS_CODE:66,Index,GCI
STATUS_CODE:24,3CB,,STATUS_CODE:66,Index,GCI
STATUS_CODE:25,3CD,,STATUS_CODE:66,Index,GCI
STATUS_CODE:26,3CS,,STATUS_CODE:66,Index,GCI
STATUS_CODE:28,4CM,,STATUS_CODE:66,Index,GCI
STATUS_CODE:67,Local/Other,,STATUS_AUTHORITY_DOCUMENT.csv,Collector,GCI
STATUS_CODE:30,5D1,,STATUS_CODE:67,Index,GCI
STATUS_CODE:31,5D2,,STATUS_CODE:67,Index,GCI
STATUS_CODE:32,5D3,,STATUS_CODE:67,Index,GCI
STATUS_CODE:33,5S1,,STATUS_CODE:67,Index,GCI
STATUS_CODE:34,5S2,,STATUS_CODE:67,Index,GCI
STATUS_CODE:35,5S3,,STATUS_CODE:67,Index,GCI
STATUS_CODE:36,5B,,STATUS_CODE:67,Index,GCI
STATUS_CODE:38,6C,,STATUS_CODE:67,Index,GCI
STATUS_CODE:39,6DQ,,STATUS_CODE:67,Index,GCI
STATUS_CODE:40,6J,,STATUS_CODE:67,Index,GCI
STATUS_CODE:41,6L,,STATUS_CODE:67,Index,GCI
STATUS_CODE:42,6LD,,STATUS_CODE:67,Index,GCI
STATUS_CODE:43,6LQ,,STATUS_CODE:67,Index,GCI
STATUS_CODE:44,6Q,,STATUS_CODE:67,Index,GCI
STATUS_CODE:45,6T,,STATUS_CODE:67,Index,GCI
STATUS_CODE:46,6U,,STATUS_CODE:67,Index,GCI
STATUS_CODE:47,6W,,STATUS_CODE:67,Index,GCI
STATUS_CODE:48,6X,,STATUS_CODE:67,Index,GCI
STATUS_CODE:49,6Y,,STATUS_CODE:67,Index,GCI
STATUS_CODE:50,6Y2,,STATUS_CODE:67,Index,GCI
STATUS_CODE:51,6Z,,STATUS_CODE:67,Index,GCI
STATUS_CODE:53,7J,,STATUS_CODE:67,Index,GCI
STATUS_CODE:54,7K,,STATUS_CODE:67,Index,GCI
STATUS_CODE:55,7L,,STATUS_CODE:67,Index,GCI
STATUS_CODE:56,7M,,STATUS_CODE:67,Index,GCI
STATUS_CODE:57,7N,,STATUS_CODE:67,Index,GCI
STATUS_CODE:58,7N1,,STATUS_CODE:67,Index,GCI
STATUS_CODE:59,7R,,STATUS_CODE:67,Index,GCI
STATUS_CODE:60,7RQ,,STATUS_CODE:67,Index,GCI
STATUS_CODE:61,7Q,,STATUS_CODE:67,Index,GCI
STATUS_CODE:62,7SQ,,STATUS_CODE:67,Index,GCI
STATUS_CODE:63,7W,,STATUS_CODE:67,Index,GCI
STATUS_CODE:64,QQQ,,STATUS_CODE:67,Index,GCI
